genetic,length,mass,bmi,exercise,smoking,alcohol,sugar,lifespan
73.9,185.0,99.7,29.1,0.9,0.0,2.4,6.9,73.1
86.0,172.0,105.4,35.6,1.8,8.1,0.4,4.2,85.0
83.3,176.0,111.4,36.0,1.1,0.8,4.6,7.5,81.6
82.8,164.0,111.4,41.4,4.7,11.8,1.0,2.9,81.0
78.7,178.0,71.6,22.6,1.5,8.3,4.9,5.5,75.0
88.2,192.0,54.3,14.7,1.8,0.4,2.1,8.0,87.5
84.1,180.0,91.6,28.3,4.3,2.2,0.2,6.0,86.8
76.8,185.0,127.9,37.4,2.6,21.0,1.7,3.7,69.4
92.1,191.0,68.0,18.6,1.9,17.8,5.1,7.1,86.1
79.0,164.0,118.1,43.9,3.7,0.5,1.2,6.1,77.8
84.9,190.0,94.3,26.1,2.0,7.7,5.1,6.4,82.1
85.1,213.0,86.4,19.0,1.9,3.1,4.8,10.1,83.3
78.0,167.0,106.6,38.2,0.7,14.0,1.0,7.9,72.3
76.5,181.0,57.3,17.5,3.0,14.0,1.0,6.3,74.6
80.7,176.0,107.1,34.6,1.9,0.5,4.0,5.3,80.0
81.1,191.0,109.1,29.9,1.7,11.0,0.7,4.9,78.6
91.6,175.0,78.4,25.6,1.6,13.5,5.0,12.7,86.8
74.9,191.0,125.6,34.4,1.8,16.8,4.8,4.6,67.5
81.0,178.0,117.4,37.1,4.6,20.5,1.3,3.7,79.0
80.6,175.0,85.7,28.0,3.6,12.3,4.5,1.0,80.2
98.1,162.0,60.9,23.2,3.4,2.6,4.0,7.9,98.5
77.8,178.0,97.9,30.9,3.3,16.7,3.5,9.6,72.9
72.4,170.0,127.1,44.0,3.0,14.3,5.7,9.7,67.3
86.7,185.0,51.9,15.2,1.8,0.5,5.3,8.5,84.8
82.3,180.0,84.3,26.0,4.1,0.7,3.0,13.7,83.6
73.1,171.0,121.9,41.7,4.1,4.5,5.6,2.4,71.2
68.3,190.0,81.8,22.7,1.6,20.0,0.3,5.4,64.9
82.5,179.0,122.9,38.4,1.2,11.6,5.7,7.6,77.5
72.6,159.0,105.5,41.7,2.2,18.5,5.6,9.9,62.9
89.4,189.0,63.7,17.8,1.8,2.8,2.3,5.9,87.9
76.6,184.0,56.9,16.8,2.4,3.4,4.6,5.1,75.5
78.1,201.0,87.1,21.6,3.5,2.4,4.9,8.5,79.1
79.3,169.0,127.7,44.7,1.6,16.5,1.5,8.5,72.7
81.9,162.0,87.9,33.5,1.8,18.5,5.1,11.0,80.3
74.0,176.0,79.5,25.7,3.9,21.7,4.3,8.2,71.5
85.5,208.0,129.9,30.0,1.2,3.8,4.5,4.0,83.1
85.3,204.0,72.9,17.5,1.2,0.3,1.5,8.9,85.0
94.1,176.0,97.0,31.3,3.0,1.8,1.3,5.6,93.6
94.2,192.0,98.5,26.7,1.2,17.1,2.2,7.9,89.7
79.6,177.0,81.3,26.0,1.2,13.0,2.0,8.2,76.8
91.0,178.0,137.6,43.4,3.5,9.6,2.1,8.3,88.9
86.4,174.0,99.9,33.0,0.9,11.9,4.2,2.3,81.2
69.6,177.0,105.5,33.7,4.6,20.7,2.9,1.8,63.4
84.1,170.0,70.3,24.3,3.9,5.0,0.8,8.1,85.0
78.5,177.0,105.8,33.8,2.5,13.8,4.4,11.0,73.2
93.8,184.0,96.8,28.6,3.4,4.0,4.4,4.8,94.4
76.6,179.0,123.3,38.5,1.6,7.1,0.4,13.6,73.7
86.1,176.0,64.4,20.8,2.0,16.4,2.0,3.5,83.0
79.7,169.0,58.6,20.5,2.0,14.6,2.3,6.5,76.3
85.6,189.0,138.9,38.9,1.4,10.6,4.5,7.8,80.2
83.8,201.0,78.2,19.4,1.1,0.2,5.0,4.7,82.9
80.9,174.0,56.7,18.7,2.0,0.3,2.0,8.1,80.9
75.6,200.0,85.4,21.4,3.1,8.5,6.0,5.3,74.4
92.7,188.0,57.0,16.1,2.9,3.8,5.0,5.4,91.4
81.1,167.0,63.9,22.9,1.8,14.0,0.1,11.4,78.8
80.2,199.0,82.0,20.7,3.8,0.7,2.4,4.2,82.3
